[ 2026-03-28 12:10:32 | node_12 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_5 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_7 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_40 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_28 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_6 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_11 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_39 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_7 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_12 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_27 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_40 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_29 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_41 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_30 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_31 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_29 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_41 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_28 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_30 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_42 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_31 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_42 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_43 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_43 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:35 | node_15 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003512489842250943, 'test_accuracy': 0.9924426674842834, 'test_precision': 0.23463594913482666, 'test_recall': 0.5975505113601685, 'test_f1': 0.3254100978374481, 'communication_cost': 182472}
[ 2026-03-28 12:10:35 | node_15 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:35 | node_15 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-28 12:10:35 | node_15 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 12:10:35 | node_15 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 12:10:35 | node_43 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004381914623081684, 'test_accuracy': 0.9952312111854553, 'test_precision': 0.33218076825141907, 'test_recall': 0.4438965916633606, 'test_f1': 0.3709345757961273, 'communication_cost': 182472}
[ 2026-03-28 12:10:35 | node_43 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:35 | node_43 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-28 12:10:35 | node_43 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 12:10:35 | node_43 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 12:10:35 | node_45 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004854644648730755, 'test_accuracy': 0.9931617975234985, 'test_precision': 0.23838375508785248, 'test_recall': 0.3904813230037689, 'test_f1': 0.2848455011844635, 'communication_cost': 182472}
[ 2026-03-28 12:10:35 | node_45 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:35 | node_45 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-28 12:10:35 | node_45 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 12:10:35 | node_5 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.00711732916533947, 'test_accuracy': 0.9909131526947021, 'test_precision': 0.22603265941143036, 'test_recall': 0.42183831334114075, 'test_f1': 0.282757967710495, 'communication_cost': 182472}
[ 2026-03-28 12:10:35 | node_45 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 12:10:35 | node_5 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:36 | node_8 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003992567304521799, 'test_accuracy': 0.9929824471473694, 'test_precision': 0.2900742292404175, 'test_recall': 0.5737873911857605, 'test_f1': 0.3822822570800781, 'communication_cost': 182472}
[ 2026-03-28 12:10:36 | node_8 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:36 | node_5 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-28 12:10:36 | node_5 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 12:10:36 | node_8 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-28 12:10:36 | node_5 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 12:10:36 | node_8 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 12:10:36 | node_8 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 12:10:36 | node_16 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004647751804441214, 'test_accuracy': 0.9937921762466431, 'test_precision': 0.3541847765445709, 'test_recall': 0.5534811615943909, 'test_f1': 0.41498133540153503, 'communication_cost': 182472}
[ 2026-03-28 12:10:36 | node_16 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:36 | node_14 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003003354649990797, 'test_accuracy': 0.9938821196556091, 'test_precision': 0.28573235869407654, 'test_recall': 0.651053249835968, 'test_f1': 0.35912245512008667, 'communication_cost': 182472}
[ 2026-03-28 12:10:36 | node_14 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:36 | node_17 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004386453423649073, 'test_accuracy': 0.991273045539856, 'test_precision': 0.24916227161884308, 'test_recall': 0.5508489608764648, 'test_f1': 0.34065523743629456, 'communication_cost': 182472}
[ 2026-03-28 12:10:36 | node_17 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:36 | node_16 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-28 12:10:36 | node_16 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 12:10:36 | node_13 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.005208048969507217, 'test_accuracy': 0.9947818517684937, 'test_precision': 0.39174920320510864, 'test_recall': 0.5319197773933411, 'test_f1': 0.432511568069458, 'communication_cost': 182472}
[ 2026-03-28 12:10:36 | node_36 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004552082624286413, 'test_accuracy': 0.9919920563697815, 'test_precision': 0.23103079199790955, 'test_recall': 0.5393197536468506, 'test_f1': 0.3104192018508911, 'communication_cost': 182472}
[ 2026-03-28 12:10:36 | node_13 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:36 | node_14 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-28 12:10:36 | node_16 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 12:10:36 | node_36 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:36 | node_17 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-28 12:10:36 | node_14 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 12:10:36 | node_17 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 12:10:36 | node_14 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 12:10:37 | node_17 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 12:10:37 | node_47 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0039274441078305244, 'test_accuracy': 0.9936116337776184, 'test_precision': 0.3282376825809479, 'test_recall': 0.501784086227417, 'test_f1': 0.37330684065818787, 'communication_cost': 182472}
[ 2026-03-28 12:10:37 | node_47 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 12:10:37 | node_13 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-28 12:10:37 | node_36 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-28 12:10:37 | node_19 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0024023365695029497, 'test_accuracy': 0.9940615296363831, 'test_precision': 0.23150192201137543, 'test_recall': 0.5700318217277527, 'test_f1': 0.3221622407436371, 'communication_cost': 182472}
[ 2026-03-28 12:10:37 | node_13 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
