[ 2025-12-18 22:53:37 | node_4 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:37 | node_4 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:37 | node_7 | INFO ] 🧩 Model added (5/5) from ['node_9']
[ 2025-12-18 22:53:37 | node_7 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:38 | node_8 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:38 | node_14 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:38 | node_11 | INFO ] 🧩 Model added (5/5) from ['node_9']
[ 2025-12-18 22:53:38 | node_11 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:38 | node_10 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:38 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:38 | node_9 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:38 | node_1 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:38 | node_1 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:38 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:38 | node_7 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:38 | node_11 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:38 | node_11 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:38 | node_9 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:38 | node_9 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:38 | node_11 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:38 | node_9 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:38 | node_11 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:38 | node_9 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:38 | node | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:38 | node | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:38 | node_13 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:38 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:38 | node_13 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:38 | node_13 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:38 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:38 | node_2 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:38 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:38 | node_3 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:38 | node_3 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:38 | node_6 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:38 | node_3 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:38 | node_6 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:38 | node_6 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:38 | node_5 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:38 | node_5 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:38 | node_5 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:39 | node_14 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:39 | node_14 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:39 | node_14 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:39 | node_8 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:39 | node_8 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:39 | node_8 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:39 | node_12 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:39 | node_12 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:39 | node_12 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:39 | node_10 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:39 | node_10 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:39 | node_10 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:39 | node_7 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:39 | node_7 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-18 22:53:39 | node_7 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-18 22:53:41 | node_10 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-18 22:53:41 | node_10 | INFO ] 🚂 Train set of 15 nodes: ['node_4', 'node_6', 'node_13', 'node', 'node_2', 'node_12', 'node_3', 'node_7', 'node_11', 'node_9', 'node_10', 'node_5', 'node_8', 'node_14', 'node_1']
[ 2025-12-18 22:53:41 | node_10 | INFO ] 🔬 Evaluating...
[ 2025-12-18 22:53:41 | node_9 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-18 22:53:41 | node_9 | INFO ] 🚂 Train set of 15 nodes: ['node_4', 'node_6', 'node_13', 'node', 'node_2', 'node_12', 'node_3', 'node_7', 'node_11', 'node_9', 'node_10', 'node_5', 'node_8', 'node_14', 'node_1']
[ 2025-12-18 22:53:41 | node_8 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-18 22:53:41 | node_9 | INFO ] 🔬 Evaluating...
[ 2025-12-18 22:53:41 | node_8 | INFO ] 🚂 Train set of 15 nodes: ['node_4', 'node_6', 'node_13', 'node', 'node_2', 'node_12', 'node_3', 'node_7', 'node_11', 'node_9', 'node_10', 'node_5', 'node_8', 'node_14', 'node_1']
[ 2025-12-18 22:53:41 | node_8 | INFO ] 🔬 Evaluating...
[ 2025-12-18 22:53:41 | node_12 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-18 22:53:41 | node_12 | INFO ] 🚂 Train set of 15 nodes: ['node_4', 'node_6', 'node_13', 'node', 'node_2', 'node_12', 'node_3', 'node_7', 'node_11', 'node_9', 'node_10', 'node_5', 'node_8', 'node_14', 'node_1']
[ 2025-12-18 22:53:41 | node_12 | INFO ] 🔬 Evaluating...
[ 2025-12-18 22:53:42 | node_10 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 2.0730011463165283, 'test_acc\n': 0.6775510311126709, 'test_precision\n': 0.3428948223590851, 'test_recall\n': 0.2954050898551941, 'test_f1\n': 0.2957097589969635}
[ 2025-12-18 22:53:42 | node_10 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:42 | node_10 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:42 | node_9 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 2.1631526947021484, 'test_acc\n': 0.7307001948356628, 'test_precision\n': 0.358085960149765, 'test_recall\n': 0.36317089200019836, 'test_f1\n': 0.34776294231414795}
[ 2025-12-18 22:53:42 | node_9 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:42 | node_8 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.6553251147270203, 'test_acc\n': 0.8736717700958252, 'test_precision\n': 0.30097639560699463, 'test_recall\n': 0.2822735011577606, 'test_f1\n': 0.28805994987487793}
[ 2025-12-18 22:53:42 | node_8 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:42 | node_9 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:42 | node_8 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:42 | node_12 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.9707803726196289, 'test_acc\n': 0.8219306468963623, 'test_precision\n': 0.3664730489253998, 'test_recall\n': 0.3237864077091217, 'test_f1\n': 0.34028854966163635}
[ 2025-12-18 22:53:42 | node_12 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:42 | node_12 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:42 | node_11 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-18 22:53:42 | node_11 | INFO ] 🚂 Train set of 15 nodes: ['node_4', 'node_6', 'node_13', 'node', 'node_2', 'node_12', 'node_3', 'node_7', 'node_11', 'node_9', 'node_10', 'node_5', 'node_8', 'node_14', 'node_1']
[ 2025-12-18 22:53:42 | node_11 | INFO ] 🔬 Evaluating...
[ 2025-12-18 22:53:42 | node_2 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-18 22:53:42 | node_2 | INFO ] 🚂 Train set of 15 nodes: ['node_4', 'node_6', 'node_13', 'node', 'node_2', 'node_12', 'node_3', 'node_7', 'node_11', 'node_9', 'node_10', 'node_5', 'node_8', 'node_14', 'node_1']
[ 2025-12-18 22:53:42 | node_2 | INFO ] 🔬 Evaluating...
[ 2025-12-18 22:53:42 | node_13 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-18 22:53:42 | node_13 | INFO ] 🚂 Train set of 15 nodes: ['node_4', 'node_6', 'node_13', 'node', 'node_2', 'node_12', 'node_3', 'node_7', 'node_11', 'node_9', 'node_10', 'node_5', 'node_8', 'node_14', 'node_1']
[ 2025-12-18 22:53:42 | node_13 | INFO ] 🔬 Evaluating...
[ 2025-12-18 22:53:42 | node_3 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-18 22:53:42 | node_3 | INFO ] 🚂 Train set of 15 nodes: ['node_4', 'node_6', 'node_13', 'node', 'node_2', 'node_12', 'node_3', 'node_7', 'node_11', 'node_9', 'node_10', 'node_5', 'node_8', 'node_14', 'node_1']
[ 2025-12-18 22:53:42 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-18 22:53:42 | node_12 | INFO ] 🎓 Training done.
[ 2025-12-18 22:53:42 | node_12 | INFO ] 🧩 Model added (1/5) from ['node_12']
[ 2025-12-18 22:53:42 | node_10 | INFO ] 🎓 Training done.
[ 2025-12-18 22:53:42 | node_10 | INFO ] 🧩 Model added (1/5) from ['node_10']
[ 2025-12-18 22:53:43 | node_14 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-18 22:53:43 | node_14 | INFO ] 🚂 Train set of 15 nodes: ['node_4', 'node_6', 'node_13', 'node', 'node_2', 'node_12', 'node_3', 'node_7', 'node_11', 'node_9', 'node_10', 'node_5', 'node_8', 'node_14', 'node_1']
[ 2025-12-18 22:53:43 | node_14 | INFO ] 🔬 Evaluating...
