[ 2025-12-19 00:08:26 | node_10 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:26 | node_11 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:26 | node_10 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:26 | node_11 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:26 | node_11 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:26 | node_3 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:26 | node_3 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:26 | node_3 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:26 | node_12 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:26 | node_12 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:26 | node_12 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:26 | node_13 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 8.497099876403809, 'test_acc\n': 0.38349515199661255, 'test_precision\n': 0.32502782344818115, 'test_recall\n': 0.22268499433994293, 'test_f1\n': 0.25589439272880554}
[ 2025-12-19 00:08:26 | node_13 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:26 | node_14 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.1547476053237915, 'test_acc\n': 0.7291196584701538, 'test_precision\n': 0.3421182632446289, 'test_recall\n': 0.2866595685482025, 'test_f1\n': 0.29996946454048157}
[ 2025-12-19 00:08:26 | node_13 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:26 | node_14 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:26 | node_14 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:26 | node_9 | INFO ] 🎓 Training done.
[ 2025-12-19 00:08:26 | node_9 | INFO ] 🧩 Model added (1/5) from ['node_9']
[ 2025-12-19 00:08:27 | node_4 | INFO ] 🎓 Training done.
[ 2025-12-19 00:08:27 | node_4 | INFO ] 🧩 Model added (1/5) from ['node_4']
[ 2025-12-19 00:08:27 | node_5 | INFO ] 🎓 Training done.
[ 2025-12-19 00:08:27 | node_5 | INFO ] 🧩 Model added (1/5) from ['node_5']
[ 2025-12-19 00:08:27 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.761288046836853, 'test_acc\n': 0.8161647915840149, 'test_precision\n': 0.32639315724372864, 'test_recall\n': 0.28022170066833496, 'test_f1\n': 0.2986716330051422}
[ 2025-12-19 00:08:27 | node_1 | INFO ] 📢 Broadcasting metrics.
