[ 2026-05-13 19:22:30 | node_7 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 19:22:30 | node_7 | INFO ] ✅ [FORCE] Local model added for round 46. (6/9)
[ 2026-05-13 19:22:31 | node_46 | INFO ] 🧩 Model added for round 46 (4/7) from ['node_20']
[ 2026-05-13 19:22:32 | node_45 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_19', 'node_34', 'node_42']
[ 2026-05-13 19:22:33 | node_19 | INFO ] 🧩 Model added for round 46 (4/9) from ['node_45']
[ 2026-05-13 19:22:35 | node_34 | INFO ] 🧩 Model added for round 46 (6/10) from ['node_45']
[ 2026-05-13 19:22:35 | node_11 | INFO ] 📤 Sending model to 12 direct neighbors: ['node', 'node_2', 'node_4', 'node_5', 'node_6', 'node_10', 'node_12', 'node_13', 'node_18', 'node_25', 'node_27', 'node_37']
[ 2026-05-13 19:22:35 | node_7 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_5', 'node_6', 'node_18', 'node_26', 'node_29', 'node_38', 'node_39', 'node_49']
[ 2026-05-13 19:22:36 | node_5 | INFO ] 🧩 Model added for round 46 (8/12) from ['node_7']
[ 2026-05-13 19:22:36 | node_2 | INFO ] 🧩 Model added for round 46 (3/5) from ['node_11']
[ 2026-05-13 19:22:37 | node_4 | INFO ] 🧩 Model added for round 46 (7/10) from ['node_11']
[ 2026-05-13 19:22:38 | node_6 | INFO ] 🧩 Model added for round 46 (6/8) from ['node_7']
[ 2026-05-13 19:22:38 | node_5 | INFO ] 🧩 Model added for round 46 (9/12) from ['node_11']
[ 2026-05-13 19:22:40 | node_29 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 19:22:40 | node_29 | INFO ] 🔬 Evaluating...
[ 2026-05-13 19:22:40 | node_29 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2547003924846649, 'test_acc': 0.9599999785423279, 'test_precision': 0.9632615447044373, 'test_recall': 0.9583494663238525, 'test_f1': 0.9599621295928955, 'communication_cost': 41397356}
[ 2026-05-13 19:22:40 | node_26 | INFO ] 🧩 Model added for round 46 (5/8) from ['node_7']
[ 2026-05-13 19:22:40 | node_29 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 19:22:41 | node_6 | INFO ] 🧩 Model added for round 46 (7/8) from ['node_11']
[ 2026-05-13 19:22:41 | node_25 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 19:22:41 | node_25 | INFO ] 🔬 Evaluating...
[ 2026-05-13 19:22:42 | node_25 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.12206229567527771, 'test_acc': 0.9800000190734863, 'test_precision': 0.9809282422065735, 'test_recall': 0.9786245226860046, 'test_f1': 0.9791955351829529, 'communication_cost': 30107168}
[ 2026-05-13 19:22:42 | node_10 | INFO ] 🧩 Model added for round 46 (7/10) from ['node_11']
[ 2026-05-13 19:22:42 | node_25 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 19:22:43 | node_39 | INFO ] 🧩 Model added for round 46 (5/8) from ['node_7']
[ 2026-05-13 19:22:44 | node_12 | INFO ] 🧩 Model added for round 46 (5/7) from ['node_11']
[ 2026-05-13 19:22:44 | node_29 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 19:22:44 | node_29 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 19:22:44 | node_29 | INFO ] ♻️ Proactively processing 7 early models for round 46.
[ 2026-05-13 19:22:44 | node_29 | INFO ] 🧩 Model added for round 46 (1/12) from ['node_43']
[ 2026-05-13 19:22:44 | node_29 | INFO ] 🧩 Model added for round 46 (2/12) from ['node_10']
[ 2026-05-13 19:22:44 | node_29 | INFO ] 🧩 Model added for round 46 (3/12) from ['node_35']
[ 2026-05-13 19:22:44 | node_49 | INFO ] 🧩 Model added for round 46 (3/6) from ['node_7']
[ 2026-05-13 19:22:44 | node_29 | INFO ] 🧩 Model added for round 46 (4/12) from ['node_19']
[ 2026-05-13 19:22:44 | node_29 | INFO ] 🧩 Model added for round 46 (5/12) from ['node_21']
