[ 2026-05-13 06:02:32 | node_7 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.14123934507369995, 'test_acc': 0.9599999785423279, 'test_precision': 0.9552644491195679, 'test_recall': 0.9629735350608826, 'test_f1': 0.9578715562820435, 'communication_cost': 22580376}
[ 2026-05-13 06:02:33 | node_7 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 06:02:34 | node_9 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 06:02:34 | node_9 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 06:02:35 | node_9 | INFO ] ♻️ Proactively processing 10 early models for round 46.
[ 2026-05-13 06:02:35 | node_9 | INFO ] 🧩 Model added for round 46 (1/12) from ['node_18']
[ 2026-05-13 06:02:35 | node_9 | INFO ] 🧩 Model added for round 46 (2/12) from ['node_4']
[ 2026-05-13 06:02:35 | node_22 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 06:02:35 | node_9 | INFO ] 🧩 Model added for round 46 (3/12) from ['node_6']
[ 2026-05-13 06:02:35 | node_9 | INFO ] 🧩 Model added for round 46 (4/12) from ['node']
[ 2026-05-13 06:02:35 | node_22 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 06:02:35 | node_9 | INFO ] 🧩 Model added for round 46 (5/12) from ['node_5']
[ 2026-05-13 06:02:35 | node_9 | INFO ] 🧩 Model added for round 46 (6/12) from ['node_26']
[ 2026-05-13 06:02:35 | node_9 | INFO ] 🧩 Model added for round 46 (7/12) from ['node_13']
[ 2026-05-13 06:02:35 | node_22 | INFO ] ♻️ Proactively processing 10 early models for round 46.
[ 2026-05-13 06:02:35 | node_9 | INFO ] 🧩 Model added for round 46 (8/12) from ['node_2']
[ 2026-05-13 06:02:35 | node_22 | INFO ] 🧩 Model added for round 46 (1/12) from ['node_19']
[ 2026-05-13 06:02:35 | node_9 | INFO ] 🧩 Model added for round 46 (9/12) from ['node_34']
[ 2026-05-13 06:02:35 | node_22 | INFO ] 🧩 Model added for round 46 (2/12) from ['node_10']
[ 2026-05-13 06:02:35 | node_9 | INFO ] 🧩 Model added for round 46 (10/12) from ['node_8']
[ 2026-05-13 06:02:35 | node_22 | INFO ] 🧩 Model added for round 46 (3/12) from ['node_35']
[ 2026-05-13 06:02:35 | node_9 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 06:02:35 | node_22 | INFO ] 🧩 Model added for round 46 (4/12) from ['node_11']
[ 2026-05-13 06:02:35 | node_22 | INFO ] 🧩 Model added for round 46 (5/12) from ['node_1']
[ 2026-05-13 06:02:35 | node_22 | INFO ] 🧩 Model added for round 46 (6/12) from ['node_8']
[ 2026-05-13 06:02:35 | node_22 | INFO ] 🧩 Model added for round 46 (7/12) from ['node_25']
[ 2026-05-13 06:02:35 | node_22 | INFO ] 🧩 Model added for round 46 (8/12) from ['node_43']
[ 2026-05-13 06:02:35 | node_22 | INFO ] 🧩 Model added for round 46 (9/12) from ['node_30']
[ 2026-05-13 06:02:35 | node_7 | INFO ] 🎉 Round 47 of 50 finished.
[ 2026-05-13 06:02:35 | node_22 | INFO ] 🧩 Model added for round 46 (10/12) from ['node_39']
[ 2026-05-13 06:02:35 | node_22 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 06:02:35 | node_7 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 06:02:35 | node_7 | INFO ] ♻️ Proactively processing 1 early models for round 47.
[ 2026-05-13 06:02:35 | node_9 | INFO ] 🎓 Training step done.
[ 2026-05-13 06:02:35 | node_7 | INFO ] 🧩 Model added for round 47 (1/7) from ['node_29']
[ 2026-05-13 06:02:35 | node_7 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 06:02:35 | node_9 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 06:02:35 | node_9 | INFO ] ✅ [FORCE] Local model added for round 46. (11/12)
